username,name,email,subject_id,password
guru001,Guru 1 b.indonesia SMPN 1 Tasikmalaya,guru001@gmail.com,21,guru
guru002,Guru 2 b.indonesia SMPN 1 Tasikmalaya,guru002@gmail.com,21,guru
guru003,Guru 1 b.inggris SMPN 1 Tasikmalaya,guru003@gmail.com,22,guru
guru004,Guru 2 b.inggris SMPN 1 Tasikmalaya,guru004@gmail.com,22,guru
guru005,Guru 1 matematika SMPN 1 Tasikmalaya,guru005@gmail.com,51,guru
guru006,Guru 2 matematika SMPN 1 Tasikmalaya,guru006@gmail.com,51,guru
guru007,Guru 1 penjas SMPN 1 Tasikmalaya,guru007@gmail.com,91,guru
guru008,Guru 2 penjas SMPN 1 Tasikmalaya,guru008@gmail.com,91,guru
guru009,Guru 1 b.indonesia SMPN 2 Tasikmalaya,guru009@gmail.com,21,guru
guru010,Guru 2 b.indonesia SMPN 2 Tasikmalaya,guru010@gmail.com,21,guru
guru011,Guru 1 b.inggris SMPN 2 Tasikmalaya,guru011@gmail.com,22,guru
guru012,Guru 2 b.inggris SMPN 2 Tasikmalaya,guru012@gmail.com,22,guru
guru013,Guru 1 matematika SMPN 2 Tasikmalaya,guru013@gmail.com,51,guru
guru014,Guru 2 matematika SMPN 2 Tasikmalaya,guru014@gmail.com,51,guru
guru015,Guru 1 penjas SMPN 2 Tasikmalaya,guru015@gmail.com,91,guru
guru016,Guru 2 penjas SMPN 2 Tasikmalaya,guru016@gmail.com,91,guru
guru017,Guru 1 b.indonesia SMPN 3 Tasikmalaya,guru017@gmail.com,21,guru
guru018,Guru 2 b.indonesia SMPN 3 Tasikmalaya,guru018@gmail.com,21,guru
guru019,Guru 1 b.inggris SMPN 3 Tasikmalaya,guru019@gmail.com,22,guru
guru020,Guru 2 b.inggris SMPN 3 Tasikmalaya,guru020@gmail.com,22,guru
guru021,Guru 1 matematika SMPN 3 Tasikmalaya,guru021@gmail.com,51,guru
guru022,Guru 2 matematika SMPN 3 Tasikmalaya,guru022@gmail.com,51,guru
guru023,Guru 1 penjas SMPN 3 Tasikmalaya,guru023@gmail.com,91,guru
guru024,Guru 2 penjas SMPN 3 Tasikmalaya,guru024@gmail.com,91,guru
guru025,Guru 1 b.indonesia SMPN 4 Tasikmalaya,guru025@gmail.com,21,guru
guru026,Guru 2 b.indonesia SMPN 4 Tasikmalaya,guru026@gmail.com,21,guru
guru027,Guru 1 b.inggris SMPN 4 Tasikmalaya,guru027@gmail.com,22,guru
guru028,Guru 2 b.inggris SMPN 4 Tasikmalaya,guru028@gmail.com,22,guru
guru029,Guru 1 matematika SMPN 4 Tasikmalaya,guru029@gmail.com,51,guru
guru030,Guru 2 matematika SMPN 4 Tasikmalaya,guru030@gmail.com,51,guru
guru031,Guru 1 penjas SMPN 4 Tasikmalaya,guru031@gmail.com,91,guru
guru032,Guru 2 penjas SMPN 4 Tasikmalaya,guru032@gmail.com,91,guru
guru033,Guru 1 b.indonesia SMPN 5 Tasikmalaya,guru033@gmail.com,21,guru
guru034,Guru 1 b.inggris SMPN 5 Tasikmalaya,guru034@gmail.com,22,guru
guru035,Guru 2 b.inggris SMPN 5 Tasikmalaya,guru035@gmail.com,22,guru
guru036,Guru 1 matematika SMPN 5 Tasikmalaya,guru036@gmail.com,51,guru
guru037,Guru 1 penjas SMPN 5 Tasikmalaya,guru037@gmail.com,91,guru
guru038,Guru 2 penjas SMPN 5 Tasikmalaya,guru038@gmail.com,91,guru
guru039,Guru 1 b.indonesia SMPN 6 Tasikmalaya,guru039@gmail.com,21,guru
guru040,Guru 1 b.inggris SMPN 6 Tasikmalaya,guru040@gmail.com,22,guru
guru041,Guru 2 b.inggris SMPN 6 Tasikmalaya,guru041@gmail.com,22,guru
guru042,Guru 1 matematika SMPN 6 Tasikmalaya,guru042@gmail.com,51,guru
guru043,Guru 1 penjas SMPN 6 Tasikmalaya,guru043@gmail.com,91,guru
guru044,Guru 2 penjas SMPN 6 Tasikmalaya,guru044@gmail.com,91,guru
guru045,Guru 1 b.indonesia SMPN 7 Tasikmalaya,guru045@gmail.com,21,guru
guru046,Guru 1 b.inggris SMPN 7 Tasikmalaya,guru046@gmail.com,22,guru
guru047,Guru 1 matematika SMPN 7 Tasikmalaya,guru047@gmail.com,51,guru
guru048,Guru 1 penjas SMPN 7 Tasikmalaya,guru048@gmail.com,91,guru
guru049,Guru 2 penjas SMPN 7 Tasikmalaya,guru049@gmail.com,91,guru
guru050,Guru 1 b.indonesia SMPN 8 Tasikmalaya,guru050@gmail.com,21,guru
guru051,Guru 1 b.inggris SMPN 8 Tasikmalaya,guru051@gmail.com,22,guru
guru052,Guru 1 matematika SMPN 8 Tasikmalaya,guru052@gmail.com,51,guru
guru053,Guru 1 penjas SMPN 8 Tasikmalaya,guru053@gmail.com,91,guru
guru054,Guru 2 penjas SMPN 8 Tasikmalaya,guru054@gmail.com,91,guru
guru055,Guru 1 b.indonesia SMPN 9 Tasikmalaya,guru055@gmail.com,21,guru
guru056,Guru 1 b.inggris SMPN 9 Tasikmalaya,guru056@gmail.com,22,guru
guru057,Guru 1 matematika SMPN 9 Tasikmalaya,guru057@gmail.com,51,guru
guru058,Guru 1 penjas SMPN 9 Tasikmalaya,guru058@gmail.com,91,guru
guru059,Guru 2 penjas SMPN 9 Tasikmalaya,guru059@gmail.com,91,guru
guru060,Guru 1 b.indonesia SMPN 10 Tasikmalaya,guru060@gmail.com,21,guru
guru061,Guru 1 b.inggris SMPN 10 Tasikmalaya,guru061@gmail.com,22,guru
guru062,Guru 2 b.inggris SMPN 10 Tasikmalaya,guru062@gmail.com,22,guru
guru063,Guru 1 matematika SMPN 10 Tasikmalaya,guru063@gmail.com,51,guru
guru064,Guru 1 penjas SMPN 10 Tasikmalaya,guru064@gmail.com,91,guru
guru065,Guru 2 penjas SMPN 10 Tasikmalaya,guru065@gmail.com,91,guru
guru066,Guru 1 b.indonesia SMPN 11 Tasikmalaya,guru066@gmail.com,21,guru
guru067,Guru 1 b.inggris SMPN 11 Tasikmalaya,guru067@gmail.com,22,guru
guru068,Guru 1 matematika SMPN 11 Tasikmalaya,guru068@gmail.com,51,guru
guru069,Guru 1 penjas SMPN 11 Tasikmalaya,guru069@gmail.com,91,guru
guru070,Guru 1 b.indonesia SMPN 12 Tasikmalaya,guru070@gmail.com,21,guru
guru071,Guru 1 b.inggris SMPN 12 Tasikmalaya,guru071@gmail.com,22,guru
guru072,Guru 1 matematika SMPN 12 Tasikmalaya,guru072@gmail.com,51,guru
guru073,Guru 1 penjas SMPN 12 Tasikmalaya,guru073@gmail.com,91,guru
guru074,Guru 2 penjas SMPN 12 Tasikmalaya,guru074@gmail.com,91,guru
guru075,Guru 1 b.indonesia SMPN 13 Tasikmalaya,guru075@gmail.com,21,guru
guru076,Guru 1 b.inggris SMPN 13 Tasikmalaya,guru076@gmail.com,22,guru
guru077,Guru 1 matematika SMPN 13 Tasikmalaya,guru077@gmail.com,51,guru
guru078,Guru 1 penjas SMPN 13 Tasikmalaya,guru078@gmail.com,91,guru
guru079,Guru 2 penjas SMPN 13 Tasikmalaya,guru079@gmail.com,91,guru
guru080,Guru 1 b.indonesia SMPN 14 Tasikmalaya,guru080@gmail.com,21,guru
guru081,Guru 1 b.inggris SMPN 14 Tasikmalaya,guru081@gmail.com,22,guru
guru082,Guru 1 matematika SMPN 14 Tasikmalaya,guru082@gmail.com,51,guru
guru083,Guru 1 penjas SMPN 14 Tasikmalaya,guru083@gmail.com,91,guru
guru084,Guru 2 penjas SMPN 14 Tasikmalaya,guru084@gmail.com,91,guru
